Name,Fingerprint,Flags,IP,OrPort,ObservedBW,GuardClients,DirClients,Uptime,Longitude,Latitude)
seele,000A10D43011EA4928A35F610405F92B4433B4DC,M,104.53.221.159,9001,1.097262,,de:8|fi:8|nl:8,6487109,-121.8846,37.3512
CalyxInstitute14,0011BD2485AD45D984EC4159C88FC066E5E3300E,MGEH,162.247.74.201,443,18.072089,kz:1064|uz:640|in:624|us:616|de:552|id:360|ir:264|kg:264|mx:264|jp:248|fr:232|gb:168|nl:168|tj:168|gt:144|pk:144|it:128|pl:128|vn:120|bo:112|ve:104|cz:96|au:88|by:88|hu:88|ng:88|tr:88|ca:80|sy:80|th:80|am:72|pe:72|ye:72|be:64|br:64|my:56|ph:56|es:48|bd:40|dk:40|ru:40|se:40|at:32|ch:32|co:32|sg:32|tw:32|ua:32|al:24|ar:24|bg:24|dz:24|fi:24|gh:24|lt:24|af:16|ao:16|az:16|cl:16|ee:16|hk:16|hn:16|hr:16|il:16|iq:16|ke:16|kr:16|lk:16|ma:16|ni:16|no:16|np:16|nz:16|pt:16|tn:16|tz:16|za:16|??:8|ae:8|ap:8|ba:8|bf:8|bh:8|bi:8|bj:8|bz:8|cd:8|cg:8|ci:8|cm:8|cr:8|cu:8|cy:8|do:8|ec:8|et:8|eu:8|ga:8|ge:8|gi:8|gm:8|gr:8|gy:8|ie:8|is:8|jm:8|jo:8|kh:8|kw:8|la:8|lb:8|lr:8|lu:8|lv:8|ly:8|md:8|mg:8|mk:8|mm:8|mn:8|mu:8|mz:8|na:8|nf:8|om:8|pa:8|pf:8|pg:8|pr:8|ps:8|py:8|qa:8|re:8|ro:8|rs:8|sd:8|si:8|sk:8|sv:8|tg:8|tm:8|tt:8|ug:8|uy:8,us:408|de:56|fr:56|au:40|jp:40|ec:24|gb:24|id:24|it:24|kr:24|sg:24|ar:16|be:16|br:16|es:16|il:16|in:16|ir:16|my:16|pk:16|se:16|sk:16|vn:16|am:8|ap:8|at:8|ba:8|bd:8|bg:8|ca:8|cg:8|ch:8|cl:8|co:8|dz:8|fi:8|ga:8|ge:8|gh:8|gr:8|hk:8|hu:8|iq:8|ke:8|mm:8|mx:8|nl:8|no:8|nz:8|ph:8|ro:8|rs:8|ru:8|si:8|th:8|tn:8|tr:8|tw:8|tz:8|ua:8|uz:8|ve:8|za:8,3413699,-97.822,37.751
skylarkRelay,00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,MGH,95.111.230.178,443,4.703677,,us:160|de:96|nl:56|fr:40|id:40|in:40|br:32|gb:32|fi:24|vn:24|au:16|ca:16|ch:16|co:16|il:16|ir:16|it:16|mx:16|no:16|tr:16|??:8|ar:8|at:8|ba:8|bd:8|be:8|bg:8|bt:8|ci:8|cl:8|cu:8|cy:8|cz:8|do:8|dz:8|es:8|eu:8|hr:8|hu:8|ie:8|jo:8|jp:8|ke:8|kz:8|lb:8|lk:8|ly:8|ma:8|mg:8|mu:8|ng:8|pe:8|ph:8|pk:8|ps:8|pt:8|rs:8|ru:8|rw:8|se:8|sg:8|sk:8|st:8|sv:8|tg:8|th:8|tw:8|tz:8|ua:8|ve:8|za:8,1102080,11.1617,49.405
StarAppsMobley,00283B5564E3072DCDDAB31D6EF622DD49BF524F,M,195.15.242.99,9001,42.915839999999996,,,64817,6.1385,46.1953
ForPrivacyNET,0036FA36AB435FD5D0F640626636867EBFB72C68,MGE,185.220.101.33,10133,12.061923,,de:8,842607,13.1207,52.6171
dc6jgk11d,0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,MG,51.15.75.120,444,10.259383,,us:864|de:512|in:224|nl:224|id:152|fr:136|gb:136|ca:128|ru:128|br:104|vn:104|it:96|es:88|fi:80|ir:72|ch:64|jp:64|mx:64|ro:56|au:48|cz:48|pk:48|co:40|lt:40|pl:40|se:40|th:40|ua:40|bd:32|hk:32|kr:32|ma:32|ph:32|tr:32|tw:32|ae:24|ap:24|ar:24|at:24|be:24|ie:24|lv:24|my:24|no:24|pt:24|sg:24|za:24|cl:16|dk:16|ec:16|eu:16|ge:16|gr:16|hr:16|la:16|np:16|pe:16|rs:16|sk:16|sn:16|ad:8|al:8|am:8|az:8|ba:8|bg:8|bh:8|bo:8|by:8|cm:8|cn:8|cr:8|do:8|dz:8|et:8|gh:8|gt:8|hu:8|il:8|iq:8|ke:8|kg:8|kh:8|kw:8|kz:8|lk:8|md:8|mk:8|mr:8|mt:8|mv:8|na:8|ng:8|ni:8|nz:8|pr:8|qa:8|rw:8|sa:8|si:8|sv:8|sy:8|tn:8|tt:8|uz:8|ve:8,194505,2.3387,48.8582
suominode,00562690CF33F537C4F4C9587655F7469868C73A,MGH,37.16.105.85,9001,14.626108,,us:944|de:504|ru:240|nl:184|fr:168|in:160|fi:120|ca:112|gb:104|it:104|id:96|es:80|jp:80|br:72|ir:72|lt:72|au:56|ch:56|hk:56|vn:48|cz:40|mx:40|no:40|ph:40|tr:40|co:32|gr:32|kr:32|pk:32|pl:32|sg:32|th:32|ap:24|at:24|be:24|dk:24|dz:24|il:24|nz:24|ro:24|rs:24|se:24|tw:24|ua:24|ae:16|ar:16|bd:16|ie:16|kz:16|lu:16|lv:16|ma:16|my:16|pe:16|pt:16|sa:16|al:8|am:8|az:8|ba:8|bg:8|bh:8|bo:8|by:8|cl:8|cu:8|do:8|ec:8|eg:8|eu:8|fo:8|ge:8|gh:8|gt:8|hr:8|ht:8|hu:8|iq:8|jm:8|jo:8|ke:8|kh:8|kw:8|la:8|lb:8|lk:8|md:8|mn:8|mt:8|mu:8|ng:8|ni:8|np:8|ps:8|py:8|sd:8|si:8|sk:8|tn:8|tt:8|tz:8|uy:8|uz:8|ve:8|vi:8|za:8|zw:8,1088180,24.9349,60.1717
namie,005C8BF81A0E1F708DB42A573C84AF025A406FCF,M,109.241.109.93,443,2.022636,,de:8|fi:8|nl:8|us:8,228355,18.602,54.299
Athena,005ED97213F725867E422B8DC0443361BBB24E3C,M,104.244.79.75,443,39.246007,,de:584|fi:496|us:288|ru:80|nl:72|jp:64|fr:32|gb:32|ca:24|vn:24|be:16|es:16|id:16|ie:16|il:16|in:16|it:16|pl:16|ap:8|ar:8|at:8|au:8|bd:8|bg:8|br:8|ch:8|co:8|cy:8|cz:8|ge:8|iq:8|ir:8|is:8|kr:8|kz:8|lt:8|lu:8|lv:8|ma:8|md:8|mk:8|mx:8|my:8|np:8|pe:8|ph:8|pk:8|pt:8|ro:8|sa:8|se:8|sg:8|sk:8|sr:8|th:8|tr:8|ua:8|uz:8|za:8,1177632,6.1294,49.6113
eisbaer,0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,ME,109.70.100.73,8080,19.632128,,,259226,16.3801,48.2048
right2,00654113959763F653C92AFF078A7EC3A7BBD2D9,MH,174.128.250.165,80,26.994518,,us:80|de:64|fi:64|ca:16|gb:16|jp:16|nl:16|ae:8|ar:8|at:8|au:8|be:8|bg:8|bo:8|ch:8|do:8|es:8|fr:8|ge:8|hk:8|hu:8|id:8|ie:8|iq:8|it:8|kr:8|md:8|my:8|pk:8|ru:8|se:8|sg:8|sn:8|th:8|tn:8|ua:8|uz:8|vn:8,6012104,-104.9957,39.7501
Zuluha,0065E7BCA1C3C2B6F12F52E0ECDA776EBF2020D1,MH,158.174.147.226,9001,2.030427,,ru:24|fi:16|de:8|fr:8|gb:8|ie:8|mk:8|my:8|nl:8|ro:8|us:8,842573,14.6269,63.1782
a9,006AE565CA934C6EE5E82FC64008D61426E8C317,MGH,5.9.12.251,9001,42.906862000000004,,,3391348,8.7046,50.6165
GuyaGuya2,006F965E89A9C3A61C9F08A6B31C28F66AF218FD,MGEH,200.25.16.77,443,8.680294,,ru:16|br:8|de:8|in:8,1362578,-47.9319,-15.7783
Quintex13,0077BCBA7244DB3E6A5ED2746E86170066684887,MGEH,199.249.230.103,443,13.902168,,ir:240|us:80|de:24|tr:16|ap:8|bd:8|ca:8|ch:8|cl:8|co:8|es:8|fr:8|gb:8|id:8|jp:8|mx:8|nl:8|pg:8|pl:8|pt:8|ru:8|sd:8|uz:8|vn:8|za:8,8191184,-97.822,37.751
INSRelay42at8443,008196DC449482C73CFA9712445223917F760921,MH,140.78.100.42,8443,6.4413789999999995,,,597418,14.285,48.3074
